Sr_No,video_Title,video_description,likes,video_url
2,100 % Hike | How Abhishek built his career | Ineuron Student Success Story,100 % Hike | How Abhishek built his career | Ineuron Student Success StoryIn this video our student Abhishek Maiti shares his learning journey with iNeuron and talks about how he cracked a job with 100% hike.,13,https://www.youtube.com/watch?v=ndi8HSFg6Ws
4,Success Story |iNeuron,,46,https://www.youtube.com/watch?v=JpC8M7UMBDM
5,Testimony video | Pratiksha Sawant | #Ineuron #oneneuron,One Neuron is a One stop solution for every student, who wants to upgrade themselves to the new upcoming technologies.ONE NEURON : Get 100+ courses at one price for LIFETIME ACCESS special offer limited off,61,https://www.youtube.com/watch?v=5OfdOQ8UAVA
6,MOUNAL SUCESS STORY FINAL first shot | Success story | Career Transition,,83,https://www.youtube.com/watch?v=i9QOOvoQ_bQ
7,Successful Transition from non tech to Data Science | iNeuron | Success story,,283,https://www.youtube.com/watch?v=VeodJ4XwoSE
8,Successful Career Transition From Bsc to Data Science | Success stories | Career Transition,,243,https://www.youtube.com/watch?v=ruAfoc7oRJw
